Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
11/30/2020,4643,1220,1685,125.748,1234.2,185.6,1169.5,35.62,1451,1370,7805,1459,1216,2796.25,1012,77.39,1658,211.85,2937,32.81,471.7,989.5,1418.699
12/01/2020,4753,1243,1760,127.738,1268.4,197.6,1220.5,38.275,1507.5,1381,7800,1510,1226,2780,1002.5,77.85,1713.5,219.95,2994,33.28,486.5,1056,1445.699
12/02/2020,4753,1243,1778,127.937,1309.8,198.8,1228.5,38.745,1500,1393.6,7937,1515,1208,2793,993.75,77.615,1680.5,222.8,3023,33.135,490.4,1059,1458.599
12/03/2020,4879,1243,1826,127.738,1309.4,201.3,1213,39.2,1491.5,1374.8,7729,1536,1226,2801.25,985.75,78.635,1684.5,230.5,3061,33.51,496,1084,1492.499
12/04/2020,4978,1227,1820,127.738,1351.4,201.3,1246,39.025,1522.5,1386,7958,1573.5,1230,2829.75,980.75,79.62,1683,237.65,3103,33.795,510,1114,1439.099
12/07/2020,4953,1184,1776,126.942,1357.6,197,1264.5,37.335,1533,1397.8,8071,1548,1200,2872,994.75,80.255,1705,239.3,3070,33.71,496.6,1080,1438.499
12/08/2020,4776,1159,1756,126.345,1346.4,194.95,1283,37.195,1526,1405,8134,1542.5,1220,2874,1012.5,80.47,1730,237.5,3094,33.635,494.1,1085,1433.399
12/09/2020,4771,1173,1704,125.947,1334.8,198.65,1290,37.25,1524,1398.8,8012,1568.5,1196,2863.75,1009,81.78,1745,237.7,2990,33.275,504,1075,1455.899
12/10/2020,4784,1145,1679,124.554,1385.2,187,1298,35.67,1543,1417.4,8103,1558.5,1200,2883.25,1008.5,80.875,1743,239.05,2998,33.355,492.5,1059,1432.199
12/11/2020,4778,1158,1657,125.748,1337.4,181.4,1299,34.07,1516,1413.2,8160,1561.5,1194,2903,1024,80.85,1740,237.25,2966,33.22,475.6,1028,1405.499
12/14/2020,4679,1188,1669,126.345,1309.4,182.85,1313,35.73,1528,1392.8,7692,1588,1200,2928.25,1033,81.845,1785,235.95,2981,33.295,482.2,1027,1420.799
12/15/2020,4720,1166,1683,126.544,1314.4,187.9,1325,36.65,1499,1358,7505,1571.5,1200,2871.5,1059.5,81.865,1816,240.4,2969,33.46,495,1017,1414.799
12/16/2020,4670,1169,1692,126.743,1358.4,193.8,1348.5,36.28,1521.5,1364.2,7645,1568,1200,2914.5,1058,82.71,1796,242.8,3020,33.885,496.6,1027,1448.099
12/17/2020,4659,1205,1709,126.345,1350,195.8,1330,36.22,1532.5,1364.4,7542,1551,1214,2944.5,1070.5,83.255,1792,241.8,3061,34.075,500.6,1020,1439.999
12/18/2020,4647,1215,1735,126.146,1341,194,1339.5,34.9,1534.5,1356.4,7508,1546.5,1252,2985.75,1109,84.105,1746.5,242.05,3162,33.73,478.5,998.5,1400.699
12/21/2020,4600,1194,1698,124.753,1265,183.2,1313.5,33.58,1519,1340.4,7440,1522.5,1242,3018.25,1117,82.54,1696.5,235.7,3091,32.745,475,976.5,1413.899
12/22/2020,4586,1212,1730,124.952,1266.8,183.55,1327.5,34.695,1556.5,1349.8,7328,1520,1244,3064.5,1173.5,84.12,1709.5,232.65,3157,33.035,483.6,991,1413.899
12/23/2020,4687,1242,1803,125.549,1291,190.45,1355.5,37.125,1542,1337.4,7224,1521,1250,3041.5,1184.5,84.99,1707,236.55,3111,33.425,497.7,1032,1412.699
12/24/2020,4627,1245,1837,125.35,1285,196.3,1353,38.605,1525.5,1332.6,7223,1522.5,1262,2997.25,1180,85.305,1709,235,3136,33.3,504,1045,1420.799
12/29/2020,4771,1262,1843,126.544,1280.6,195.3,1384,36.755,1590.5,1365.8,7462,1570.5,1264,2958,1178,83.105,1746,235.6,3148,33.695,508.2,1068,1452.899
12/30/2020,4757,1239,1837,126.942,1272.2,191.8,1369.5,36.81,1549.5,1358,7401,1541.5,1246,2944.25,1193,83.885,1741,236.6,3146,33.875,501.2,1049,1423.799
12/31/2020,4690,1213,1790,127.141,1259.4,187.3,1347,36.44,1510,1342,7324,1504.5,1218,2924.5,1191.5,83.685,1719.5,233,3058,33.72,489,1045,1424.999
01/04/2021,4669,1245,1771,127.141,1258.6,184.75,1384,34.835,1567,1376,7422,1545,1202,2887.25,1216,82.44,1751.5,245.4,3170,33.24,475.8,1008,1429.199
01/05/2021,4732,1274,1780,127.539,1337.6,183.8,1379.5,35.21,1572.5,1375.4,7439,1542,1202,2891.25,1228,83.515,1740,254.1,3135,33.235,468.7,1016,1411.499
01/06/2021,4814,1292,1920,127.539,1430.6,190.15,1449.5,37.16,1624.5,1408.4,7512,1584.5,1170,2894,1320,87.035,1824.5,273.95,3382,33.345,488.8,1004,1434.299
01/07/2021,4762,1295,1901,126.942,1424.4,192.85,1440,36.89,1601.5,1398,7475,1575.5,1140,2931.75,1425,88.525,1886.5,278.55,3504,33.07,466.9,1014,1439.999
01/08/2021,4816,1337,1930,126.345,1417.4,197.9,1430,36.825,1619.5,1408.4,7471,1583.5,1144,2983.75,1398.5,88.775,1876.5,276.45,3437,33.155,465.1,1009,1456.199
01/11/2021,4739,1300,1856,125.549,1407.4,196.9,1420.5,36.165,1577,1395,7556,1556.5,1128,2995,1357.5,88.33,1851.5,270.55,3379,32.82,452,991.5,1440.599
01/12/2021,4876,1275,1816,125.151,1433.6,201.9,1428,36.745,1533,1367,7405,1518,1116,2957.5,1347.5,89.79,1853,276.4,3330,32.835,452.5,1001,1422.899
